que_id,que_q,que_a
463,外省转入时，有哪些具体的规定和要求需要满足,（1）转考考生应当在我省取得一门或者一门以上课程合格成绩，并取得我省考籍后，再从原报考省办理转出手续。（2）转考考生在原报考省因违反有关考试管理规定被停考或者延迟毕业期间，不得转入。（3）已经取得某专业全部课程合格成绩的考生，只能在原报考地省级考办办理毕业手续，不得转入。（4）免考取得的课程合格成绩不得转入。毕业论文成绩不得转入。（5）转考考生应当按我省公布的专业考试计划参加考试，其原考试合格课程与现考试课程的替换关系按我省有关文件执行，如转入课程在我省无对应课程（含代码）的，不予转入。（6）转考考生应当在我省取得专科不少于5门、本科不少于4门的课程合格成绩，方可在我省办理毕业手续。（7）我省不办理实践环节考核课程成绩转入。在我省申办毕业，必须取得相应专业对应主考院校的实践环节考核合格成绩。考生如需使用转出省的实践环节考核课程成绩，可凭相关材料与所报专业的主考院校联系。
464,如何办理外省转入手续？,（1）考生须在规定时间内办理转入手续。其中，考生档案在3月份转入我省的，办理时限为当年的3月1—25日；考生档案在9月份转入我省的，办理时限为当年的9月1—25日；如逾期办理，考生档案将被退回转出省。考生在我省记录的个人基本信息（包括姓名、性别、出生年月、身份证号）必须与转出省所记录的个人信息一致，如有变更，须提供公安部门的相关有效证明材料。（2）考生登录广东省自学考试管理系统，通过考籍管理模块中的外省转入功能，提交转入申请后，由系统将采集的图像与考生信息数据库进行关联校验，采取信息化手段与公安部门人口库等权威渠道开展图像比对。如校验通过，可直接进入省考办审核环节，考生无需现场提交材料；如校验不通过，考生仍须前往当地市考办现场办理相关转考手续。（3）需现场办理手续的考生，登录广东省自学考试管理系统，通过考籍管理模块中的外省转入功能，查实我省考办已经接收到转出省考办寄出的考籍档案，记下外档号，到县（区）考办打印《高等教育自学考试转考（转入）登记表》，并签名确认；然后向县（区）考办提交该登记表以及我省准考证、身份证的原件和复印件，并在复印件注明外档号。县（区）考办收集并验核考生材料后，打印《外省考生考籍转入凭证》交考生，证件原件退回考生。县（区）考办将考生材料统一集中报市考办。市考办验核考生材料后，在复印件签署意见并加盖公章，分别在每年上半年3月31日前和下半年9月30日前将考生材料以及《高等教育自学考试转考（转入）登记表》上报省考办。（4）省考办审核后，不返回书面结果，考生可通过广东省自学考试管理系统查询审核结果。审核通过的考生，可使用该系统的毕业预测功能查询报考专业所需通过的课程。
465,怎么办理外省转入手续,（1）考生须在规定时间内办理转入手续。其中，考生档案在3月份转入我省的，办理时限为当年的3月1—25日；考生档案在9月份转入我省的，办理时限为当年的9月1—25日；如逾期办理，考生档案将被退回转出省。考生在我省记录的个人基本信息（包括姓名、性别、出生年月、身份证号）必须与转出省所记录的个人信息一致，如有变更，须提供公安部门的相关有效证明材料。（2）考生登录广东省自学考试管理系统，通过考籍管理模块中的外省转入功能，提交转入申请后，由系统将采集的图像与考生信息数据库进行关联校验，采取信息化手段与公安部门人口库等权威渠道开展图像比对。如校验通过，可直接进入省考办审核环节，考生无需现场提交材料；如校验不通过，考生仍须前往当地市考办现场办理相关转考手续。（3）需现场办理手续的考生，登录广东省自学考试管理系统，通过考籍管理模块中的外省转入功能，查实我省考办已经接收到转出省考办寄出的考籍档案，记下外档号，到县（区）考办打印《高等教育自学考试转考（转入）登记表》，并签名确认；然后向县（区）考办提交该登记表以及我省准考证、身份证的原件和复印件，并在复印件注明外档号。县（区）考办收集并验核考生材料后，打印《外省考生考籍转入凭证》交考生，证件原件退回考生。县（区）考办将考生材料统一集中报市考办。市考办验核考生材料后，在复印件签署意见并加盖公章，分别在每年上半年3月31日前和下半年9月30日前将考生材料以及《高等教育自学考试转考（转入）登记表》上报省考办。（4）省考办审核后，不返回书面结果，考生可通过广东省自学考试管理系统查询审核结果。审核通过的考生，可使用该系统的毕业预测功能查询报考专业所需通过的课程。
466,外省转入手续怎么办理,（1）考生须在规定时间内办理转入手续。其中，考生档案在3月份转入我省的，办理时限为当年的3月1—25日；考生档案在9月份转入我省的，办理时限为当年的9月1—25日；如逾期办理，考生档案将被退回转出省。考生在我省记录的个人基本信息（包括姓名、性别、出生年月、身份证号）必须与转出省所记录的个人信息一致，如有变更，须提供公安部门的相关有效证明材料。（2）考生登录广东省自学考试管理系统，通过考籍管理模块中的外省转入功能，提交转入申请后，由系统将采集的图像与考生信息数据库进行关联校验，采取信息化手段与公安部门人口库等权威渠道开展图像比对。如校验通过，可直接进入省考办审核环节，考生无需现场提交材料；如校验不通过，考生仍须前往当地市考办现场办理相关转考手续。（3）需现场办理手续的考生，登录广东省自学考试管理系统，通过考籍管理模块中的外省转入功能，查实我省考办已经接收到转出省考办寄出的考籍档案，记下外档号，到县（区）考办打印《高等教育自学考试转考（转入）登记表》，并签名确认；然后向县（区）考办提交该登记表以及我省准考证、身份证的原件和复印件，并在复印件注明外档号。县（区）考办收集并验核考生材料后，打印《外省考生考籍转入凭证》交考生，证件原件退回考生。县（区）考办将考生材料统一集中报市考办。市考办验核考生材料后，在复印件签署意见并加盖公章，分别在每年上半年3月31日前和下半年9月30日前将考生材料以及《高等教育自学考试转考（转入）登记表》上报省考办。（4）省考办审核后，不返回书面结果，考生可通过广东省自学考试管理系统查询审核结果。审核通过的考生，可使用该系统的毕业预测功能查询报考专业所需通过的课程。
467,外省转入手续如何办理,（1）考生须在规定时间内办理转入手续。其中，考生档案在3月份转入我省的，办理时限为当年的3月1—25日；考生档案在9月份转入我省的，办理时限为当年的9月1—25日；如逾期办理，考生档案将被退回转出省。考生在我省记录的个人基本信息（包括姓名、性别、出生年月、身份证号）必须与转出省所记录的个人信息一致，如有变更，须提供公安部门的相关有效证明材料。（2）考生登录广东省自学考试管理系统，通过考籍管理模块中的外省转入功能，提交转入申请后，由系统将采集的图像与考生信息数据库进行关联校验，采取信息化手段与公安部门人口库等权威渠道开展图像比对。如校验通过，可直接进入省考办审核环节，考生无需现场提交材料；如校验不通过，考生仍须前往当地市考办现场办理相关转考手续。（3）需现场办理手续的考生，登录广东省自学考试管理系统，通过考籍管理模块中的外省转入功能，查实我省考办已经接收到转出省考办寄出的考籍档案，记下外档号，到县（区）考办打印《高等教育自学考试转考（转入）登记表》，并签名确认；然后向县（区）考办提交该登记表以及我省准考证、身份证的原件和复印件，并在复印件注明外档号。县（区）考办收集并验核考生材料后，打印《外省考生考籍转入凭证》交考生，证件原件退回考生。县（区）考办将考生材料统一集中报市考办。市考办验核考生材料后，在复印件签署意见并加盖公章，分别在每年上半年3月31日前和下半年9月30日前将考生材料以及《高等教育自学考试转考（转入）登记表》上报省考办。（4）省考办审核后，不返回书面结果，考生可通过广东省自学考试管理系统查询审核结果。审核通过的考生，可使用该系统的毕业预测功能查询报考专业所需通过的课程。
468,外省转入手续办理,（1）考生须在规定时间内办理转入手续。其中，考生档案在3月份转入我省的，办理时限为当年的3月1—25日；考生档案在9月份转入我省的，办理时限为当年的9月1—25日；如逾期办理，考生档案将被退回转出省。考生在我省记录的个人基本信息（包括姓名、性别、出生年月、身份证号）必须与转出省所记录的个人信息一致，如有变更，须提供公安部门的相关有效证明材料。（2）考生登录广东省自学考试管理系统，通过考籍管理模块中的外省转入功能，提交转入申请后，由系统将采集的图像与考生信息数据库进行关联校验，采取信息化手段与公安部门人口库等权威渠道开展图像比对。如校验通过，可直接进入省考办审核环节，考生无需现场提交材料；如校验不通过，考生仍须前往当地市考办现场办理相关转考手续。（3）需现场办理手续的考生，登录广东省自学考试管理系统，通过考籍管理模块中的外省转入功能，查实我省考办已经接收到转出省考办寄出的考籍档案，记下外档号，到县（区）考办打印《高等教育自学考试转考（转入）登记表》，并签名确认；然后向县（区）考办提交该登记表以及我省准考证、身份证的原件和复印件，并在复印件注明外档号。县（区）考办收集并验核考生材料后，打印《外省考生考籍转入凭证》交考生，证件原件退回考生。县（区）考办将考生材料统一集中报市考办。市考办验核考生材料后，在复印件签署意见并加盖公章，分别在每年上半年3月31日前和下半年9月30日前将考生材料以及《高等教育自学考试转考（转入）登记表》上报省考办。（4）省考办审核后，不返回书面结果，考生可通过广东省自学考试管理系统查询审核结果。审核通过的考生，可使用该系统的毕业预测功能查询报考专业所需通过的课程。
469,办理外省转入手续的具体步骤是什么,（1）考生须在规定时间内办理转入手续。其中，考生档案在3月份转入我省的，办理时限为当年的3月1—25日；考生档案在9月份转入我省的，办理时限为当年的9月1—25日；如逾期办理，考生档案将被退回转出省。考生在我省记录的个人基本信息（包括姓名、性别、出生年月、身份证号）必须与转出省所记录的个人信息一致，如有变更，须提供公安部门的相关有效证明材料。（2）考生登录广东省自学考试管理系统，通过考籍管理模块中的外省转入功能，提交转入申请后，由系统将采集的图像与考生信息数据库进行关联校验，采取信息化手段与公安部门人口库等权威渠道开展图像比对。如校验通过，可直接进入省考办审核环节，考生无需现场提交材料；如校验不通过，考生仍须前往当地市考办现场办理相关转考手续。（3）需现场办理手续的考生，登录广东省自学考试管理系统，通过考籍管理模块中的外省转入功能，查实我省考办已经接收到转出省考办寄出的考籍档案，记下外档号，到县（区）考办打印《高等教育自学考试转考（转入）登记表》，并签名确认；然后向县（区）考办提交该登记表以及我省准考证、身份证的原件和复印件，并在复印件注明外档号。县（区）考办收集并验核考生材料后，打印《外省考生考籍转入凭证》交考生，证件原件退回考生。县（区）考办将考生材料统一集中报市考办。市考办验核考生材料后，在复印件签署意见并加盖公章，分别在每年上半年3月31日前和下半年9月30日前将考生材料以及《高等教育自学考试转考（转入）登记表》上报省考办。（4）省考办审核后，不返回书面结果，考生可通过广东省自学考试管理系统查询审核结果。审核通过的考生，可使用该系统的毕业预测功能查询报考专业所需通过的课程。
470,如何操作来办理外省转入的相关手续,（1）考生须在规定时间内办理转入手续。其中，考生档案在3月份转入我省的，办理时限为当年的3月1—25日；考生档案在9月份转入我省的，办理时限为当年的9月1—25日；如逾期办理，考生档案将被退回转出省。考生在我省记录的个人基本信息（包括姓名、性别、出生年月、身份证号）必须与转出省所记录的个人信息一致，如有变更，须提供公安部门的相关有效证明材料。（2）考生登录广东省自学考试管理系统，通过考籍管理模块中的外省转入功能，提交转入申请后，由系统将采集的图像与考生信息数据库进行关联校验，采取信息化手段与公安部门人口库等权威渠道开展图像比对。如校验通过，可直接进入省考办审核环节，考生无需现场提交材料；如校验不通过，考生仍须前往当地市考办现场办理相关转考手续。（3）需现场办理手续的考生，登录广东省自学考试管理系统，通过考籍管理模块中的外省转入功能，查实我省考办已经接收到转出省考办寄出的考籍档案，记下外档号，到县（区）考办打印《高等教育自学考试转考（转入）登记表》，并签名确认；然后向县（区）考办提交该登记表以及我省准考证、身份证的原件和复印件，并在复印件注明外档号。县（区）考办收集并验核考生材料后，打印《外省考生考籍转入凭证》交考生，证件原件退回考生。县（区）考办将考生材料统一集中报市考办。市考办验核考生材料后，在复印件签署意见并加盖公章，分别在每年上半年3月31日前和下半年9月30日前将考生材料以及《高等教育自学考试转考（转入）登记表》上报省考办。（4）省考办审核后，不返回书面结果，考生可通过广东省自学考试管理系统查询审核结果。审核通过的考生，可使用该系统的毕业预测功能查询报考专业所需通过的课程。
471,如何办理合并准考证手续？,（1）网上办理。考生在我省自学考试管理系统提交合并准考证申请后，由系统将采集的图像与考生信息数据库进行关联校验，采取信息化手段与公安部门人口库等权威渠道开展图像比对。如校验通过，可直接进入省考办审核环节，考生无需现场提交材料；如校验不通过，考生仍须前往当地市考办现场办理相关转考手续。（2）现场办理。考生登录广东省自学考试管理系统，通过该系统中的考籍管理模块的合并准考证号功能提交申请，然后在当地市考办规定时间内到县（区）考办提交源准考证、目的准考证、身份证的原件及复印件。考生申请合并准考证号中的源准考证号是指将不再使用的准考证号码；目的准考证号是指将继续使用的准考证号码。县（区）考办收集、核验考生的材料后，原件退回考生，并打印《办理合并准考证号凭证》交考生；然后将考生材料统一集中报市考办。市考办核对考生材料，校对考生两个准考证号的基本信息（包括姓名、性别、出生年月、身份证号、相片）；在复印件上签署意见并加盖公章；打印《合并准考证号审核表》与有关材料一并交省考办。（3）省考办审核后，不返回书面结果，考生可通过广东省自学考试管理系统查询审核结果。（4）考生办理合并准考证号后，源准考证号记录的全部成绩及违规记录将转移到目的准考证号，目的准考证号记录的原有成绩及违规记录保持不变。合并后的源准考证不能再使用，考生不可再用于报考或办理其他业务。
472,怎么办理合并准考证手续,（1）网上办理。考生在我省自学考试管理系统提交合并准考证申请后，由系统将采集的图像与考生信息数据库进行关联校验，采取信息化手段与公安部门人口库等权威渠道开展图像比对。如校验通过，可直接进入省考办审核环节，考生无需现场提交材料；如校验不通过，考生仍须前往当地市考办现场办理相关转考手续。（2）现场办理。考生登录广东省自学考试管理系统，通过该系统中的考籍管理模块的合并准考证号功能提交申请，然后在当地市考办规定时间内到县（区）考办提交源准考证、目的准考证、身份证的原件及复印件。考生申请合并准考证号中的源准考证号是指将不再使用的准考证号码；目的准考证号是指将继续使用的准考证号码。县（区）考办收集、核验考生的材料后，原件退回考生，并打印《办理合并准考证号凭证》交考生；然后将考生材料统一集中报市考办。市考办核对考生材料，校对考生两个准考证号的基本信息（包括姓名、性别、出生年月、身份证号、相片）；在复印件上签署意见并加盖公章；打印《合并准考证号审核表》与有关材料一并交省考办。（3）省考办审核后，不返回书面结果，考生可通过广东省自学考试管理系统查询审核结果。（4）考生办理合并准考证号后，源准考证号记录的全部成绩及违规记录将转移到目的准考证号，目的准考证号记录的原有成绩及违规记录保持不变。合并后的源准考证不能再使用，考生不可再用于报考或办理其他业务。
473,合并准考证手续怎么办理,（1）网上办理。考生在我省自学考试管理系统提交合并准考证申请后，由系统将采集的图像与考生信息数据库进行关联校验，采取信息化手段与公安部门人口库等权威渠道开展图像比对。如校验通过，可直接进入省考办审核环节，考生无需现场提交材料；如校验不通过，考生仍须前往当地市考办现场办理相关转考手续。（2）现场办理。考生登录广东省自学考试管理系统，通过该系统中的考籍管理模块的合并准考证号功能提交申请，然后在当地市考办规定时间内到县（区）考办提交源准考证、目的准考证、身份证的原件及复印件。考生申请合并准考证号中的源准考证号是指将不再使用的准考证号码；目的准考证号是指将继续使用的准考证号码。县（区）考办收集、核验考生的材料后，原件退回考生，并打印《办理合并准考证号凭证》交考生；然后将考生材料统一集中报市考办。市考办核对考生材料，校对考生两个准考证号的基本信息（包括姓名、性别、出生年月、身份证号、相片）；在复印件上签署意见并加盖公章；打印《合并准考证号审核表》与有关材料一并交省考办。（3）省考办审核后，不返回书面结果，考生可通过广东省自学考试管理系统查询审核结果。（4）考生办理合并准考证号后，源准考证号记录的全部成绩及违规记录将转移到目的准考证号，目的准考证号记录的原有成绩及违规记录保持不变。合并后的源准考证不能再使用，考生不可再用于报考或办理其他业务。
474,合并准考证手续如何办理,（1）网上办理。考生在我省自学考试管理系统提交合并准考证申请后，由系统将采集的图像与考生信息数据库进行关联校验，采取信息化手段与公安部门人口库等权威渠道开展图像比对。如校验通过，可直接进入省考办审核环节，考生无需现场提交材料；如校验不通过，考生仍须前往当地市考办现场办理相关转考手续。（2）现场办理。考生登录广东省自学考试管理系统，通过该系统中的考籍管理模块的合并准考证号功能提交申请，然后在当地市考办规定时间内到县（区）考办提交源准考证、目的准考证、身份证的原件及复印件。考生申请合并准考证号中的源准考证号是指将不再使用的准考证号码；目的准考证号是指将继续使用的准考证号码。县（区）考办收集、核验考生的材料后，原件退回考生，并打印《办理合并准考证号凭证》交考生；然后将考生材料统一集中报市考办。市考办核对考生材料，校对考生两个准考证号的基本信息（包括姓名、性别、出生年月、身份证号、相片）；在复印件上签署意见并加盖公章；打印《合并准考证号审核表》与有关材料一并交省考办。（3）省考办审核后，不返回书面结果，考生可通过广东省自学考试管理系统查询审核结果。（4）考生办理合并准考证号后，源准考证号记录的全部成绩及违规记录将转移到目的准考证号，目的准考证号记录的原有成绩及违规记录保持不变。合并后的源准考证不能再使用，考生不可再用于报考或办理其他业务。
475,合并准考证手续应该如何办理,（1）网上办理。考生在我省自学考试管理系统提交合并准考证申请后，由系统将采集的图像与考生信息数据库进行关联校验，采取信息化手段与公安部门人口库等权威渠道开展图像比对。如校验通过，可直接进入省考办审核环节，考生无需现场提交材料；如校验不通过，考生仍须前往当地市考办现场办理相关转考手续。（2）现场办理。考生登录广东省自学考试管理系统，通过该系统中的考籍管理模块的合并准考证号功能提交申请，然后在当地市考办规定时间内到县（区）考办提交源准考证、目的准考证、身份证的原件及复印件。考生申请合并准考证号中的源准考证号是指将不再使用的准考证号码；目的准考证号是指将继续使用的准考证号码。县（区）考办收集、核验考生的材料后，原件退回考生，并打印《办理合并准考证号凭证》交考生；然后将考生材料统一集中报市考办。市考办核对考生材料，校对考生两个准考证号的基本信息（包括姓名、性别、出生年月、身份证号、相片）；在复印件上签署意见并加盖公章；打印《合并准考证号审核表》与有关材料一并交省考办。（3）省考办审核后，不返回书面结果，考生可通过广东省自学考试管理系统查询审核结果。（4）考生办理合并准考证号后，源准考证号记录的全部成绩及违规记录将转移到目的准考证号，目的准考证号记录的原有成绩及违规记录保持不变。合并后的源准考证不能再使用，考生不可再用于报考或办理其他业务。
476,办理合并准考证的具体步骤是什么,（1）网上办理。考生在我省自学考试管理系统提交合并准考证申请后，由系统将采集的图像与考生信息数据库进行关联校验，采取信息化手段与公安部门人口库等权威渠道开展图像比对。如校验通过，可直接进入省考办审核环节，考生无需现场提交材料；如校验不通过，考生仍须前往当地市考办现场办理相关转考手续。（2）现场办理。考生登录广东省自学考试管理系统，通过该系统中的考籍管理模块的合并准考证号功能提交申请，然后在当地市考办规定时间内到县（区）考办提交源准考证、目的准考证、身份证的原件及复印件。考生申请合并准考证号中的源准考证号是指将不再使用的准考证号码；目的准考证号是指将继续使用的准考证号码。县（区）考办收集、核验考生的材料后，原件退回考生，并打印《办理合并准考证号凭证》交考生；然后将考生材料统一集中报市考办。市考办核对考生材料，校对考生两个准考证号的基本信息（包括姓名、性别、出生年月、身份证号、相片）；在复印件上签署意见并加盖公章；打印《合并准考证号审核表》与有关材料一并交省考办。（3）省考办审核后，不返回书面结果，考生可通过广东省自学考试管理系统查询审核结果。（4）考生办理合并准考证号后，源准考证号记录的全部成绩及违规记录将转移到目的准考证号，目的准考证号记录的原有成绩及违规记录保持不变。合并后的源准考证不能再使用，考生不可再用于报考或办理其他业务。
477,合并准考证怎么操作,（1）网上办理。考生在我省自学考试管理系统提交合并准考证申请后，由系统将采集的图像与考生信息数据库进行关联校验，采取信息化手段与公安部门人口库等权威渠道开展图像比对。如校验通过，可直接进入省考办审核环节，考生无需现场提交材料；如校验不通过，考生仍须前往当地市考办现场办理相关转考手续。（2）现场办理。考生登录广东省自学考试管理系统，通过该系统中的考籍管理模块的合并准考证号功能提交申请，然后在当地市考办规定时间内到县（区）考办提交源准考证、目的准考证、身份证的原件及复印件。考生申请合并准考证号中的源准考证号是指将不再使用的准考证号码；目的准考证号是指将继续使用的准考证号码。县（区）考办收集、核验考生的材料后，原件退回考生，并打印《办理合并准考证号凭证》交考生；然后将考生材料统一集中报市考办。市考办核对考生材料，校对考生两个准考证号的基本信息（包括姓名、性别、出生年月、身份证号、相片）；在复印件上签署意见并加盖公章；打印《合并准考证号审核表》与有关材料一并交省考办。（3）省考办审核后，不返回书面结果，考生可通过广东省自学考试管理系统查询审核结果。（4）考生办理合并准考证号后，源准考证号记录的全部成绩及违规记录将转移到目的准考证号，目的准考证号记录的原有成绩及违规记录保持不变。合并后的源准考证不能再使用，考生不可再用于报考或办理其他业务。
478,合并准考证手续的具体办理流程,（1）网上办理。考生在我省自学考试管理系统提交合并准考证申请后，由系统将采集的图像与考生信息数据库进行关联校验，采取信息化手段与公安部门人口库等权威渠道开展图像比对。如校验通过，可直接进入省考办审核环节，考生无需现场提交材料；如校验不通过，考生仍须前往当地市考办现场办理相关转考手续。（2）现场办理。考生登录广东省自学考试管理系统，通过该系统中的考籍管理模块的合并准考证号功能提交申请，然后在当地市考办规定时间内到县（区）考办提交源准考证、目的准考证、身份证的原件及复印件。考生申请合并准考证号中的源准考证号是指将不再使用的准考证号码；目的准考证号是指将继续使用的准考证号码。县（区）考办收集、核验考生的材料后，原件退回考生，并打印《办理合并准考证号凭证》交考生；然后将考生材料统一集中报市考办。市考办核对考生材料，校对考生两个准考证号的基本信息（包括姓名、性别、出生年月、身份证号、相片）；在复印件上签署意见并加盖公章；打印《合并准考证号审核表》与有关材料一并交省考办。（3）省考办审核后，不返回书面结果，考生可通过广东省自学考试管理系统查询审核结果。（4）考生办理合并准考证号后，源准考证号记录的全部成绩及违规记录将转移到目的准考证号，目的准考证号记录的原有成绩及违规记录保持不变。合并后的源准考证不能再使用，考生不可再用于报考或办理其他业务。
479,自学考试考籍档案转到广东后，需要转回原转出省或转往其他省，如何办理？,考生须先按规定完成外省转入手续，再办理转出外省手续。
480,自学考试考籍档案转到广东后，需要转回原转出省或转往其他省，怎么办理,考生须先按规定完成外省转入手续，再办理转出外省手续。
481,自学考试考籍档案转到广东后，需要转回原转出省如何办理,考生须先按规定完成外省转入手续，再办理转出外省手续。
482,自学考试考籍档案转到广东后，需要转回原转出省怎么办理,考生须先按规定完成外省转入手续，再办理转出外省手续。
483,自学考试考籍档案转到广东后，需要转往其他省，如何办理,考生须先按规定完成外省转入手续，再办理转出外省手续。
484,自学考试考籍档案转到广东后，需要转往其他省，怎么办理,考生须先按规定完成外省转入手续，再办理转出外省手续。
485,考籍档案转到广东后，需要转回去怎么办,考生须先按规定完成外省转入手续，再办理转出外省手续。
486,考籍档案转到广东后，需要再转到其他省怎么办,考生须先按规定完成外省转入手续，再办理转出外省手续。
487,自学考试考籍档案已转出外省，需要转回广东，如何办理？,考生需自行联系外省考办，按外省的相关规定办理有关手续，将考籍档案退回广东省，再按照广东省外省转入的业务流程进行办理。
488,自学考试考籍档案已转出外省，需要转回广东，怎么办理,考生需自行联系外省考办，按外省的相关规定办理有关手续，将考籍档案退回广东省，再按照广东省外省转入的业务流程进行办理。
489,自学考试考籍档案已转出外省，需要转回广东，怎么办,考生需自行联系外省考办，按外省的相关规定办理有关手续，将考籍档案退回广东省，再按照广东省外省转入的业务流程进行办理。
490,考籍档案已转出外省，想再转回广东，怎么办,考生需自行联系外省考办，按外省的相关规定办理有关手续，将考籍档案退回广东省，再按照广东省外省转入的业务流程进行办理。
491,考籍档案已转出外省，想再转回广东，如何办理,考生需自行联系外省考办，按外省的相关规定办理有关手续，将考籍档案退回广东省，再按照广东省外省转入的业务流程进行办理。
492,考籍档案已转出外省，怎么办理再转回广东,考生需自行联系外省考办，按外省的相关规定办理有关手续，将考籍档案退回广东省，再按照广东省外省转入的业务流程进行办理。
493,参加自学考试的过程中，想转考其他专业，如何办理手续？,考生如需从A专业转考B专业，无需办理任何手续，只要取得B专业的专业计划规定的全部课程合格成绩，申请毕业时选择B专业即可。
494,参加自学考试的过程中，想转考其他专业，怎么办理手续,考生如需从A专业转考B专业，无需办理任何手续，只要取得B专业的专业计划规定的全部课程合格成绩，申请毕业时选择B专业即可。
495,自学考试过程中想转考其他专业，怎么办理,考生如需从A专业转考B专业，无需办理任何手续，只要取得B专业的专业计划规定的全部课程合格成绩，申请毕业时选择B专业即可。
496,自学考试过程中想转考其他专业，如何办理,考生如需从A专业转考B专业，无需办理任何手续，只要取得B专业的专业计划规定的全部课程合格成绩，申请毕业时选择B专业即可。
497,参加自学考试过程中，怎么办理转考其他专业,考生如需从A专业转考B专业，无需办理任何手续，只要取得B专业的专业计划规定的全部课程合格成绩，申请毕业时选择B专业即可。
498,参加自学考试过程中，如何办理转考其他专业,考生如需从A专业转考B专业，无需办理任何手续，只要取得B专业的专业计划规定的全部课程合格成绩，申请毕业时选择B专业即可。
499,自学考试过程中，可以转考其他专业吗,考生如需从A专业转考B专业，无需办理任何手续，只要取得B专业的专业计划规定的全部课程合格成绩，申请毕业时选择B专业即可。
500,转出凭证在哪里开具?,考生在当地县（区）考办办理转出手续后，由县（区）考办开具转出凭证。
501,转出凭证如何开具,考生在当地县（区）考办办理转出手续后，由县（区）考办开具转出凭证。
502,转出凭证怎么开具,考生在当地县（区）考办办理转出手续后，由县（区）考办开具转出凭证。
503,在哪开具转出凭证,考生在当地县（区）考办办理转出手续后，由县（区）考办开具转出凭证。
504,转出凭证应该在哪个机构或部门开具,考生在当地县（区）考办办理转出手续后，由县（区）考办开具转出凭证。
505,转出凭证开具部门,考生在当地县（区）考办办理转出手续后，由县（区）考办开具转出凭证。
506,转出凭证开具机构,考生在当地县（区）考办办理转出手续后，由县（区）考办开具转出凭证。
507,在广东省，能否使用同一准考证号在不同地市参加自学考试或者申请毕业？,在广东省内，取得自学考试准考证号后，可以在各地市报考自学考试开考的课程或申请毕业。
508,在广东省，可以使用同一准考证号在不同地市参加自学考试或者申请毕业,在广东省内，取得自学考试准考证号后，可以在各地市报考自学考试开考的课程或申请毕业。
509,在广东省，能否使用同一准考证号在不同地市参加自学考试吗,在广东省内，取得自学考试准考证号后，可以在各地市报考自学考试开考的课程或申请毕业。
510,在广东省，能否使用同一准考证号在不同地市申请毕业吗,在广东省内，取得自学考试准考证号后，可以在各地市报考自学考试开考的课程或申请毕业。
511,可以使用同一准考证号在广东省不同地市参加自学考试吗,在广东省内，取得自学考试准考证号后，可以在各地市报考自学考试开考的课程或申请毕业。
512,可以使用同一准考证号在广东省不同地市申请毕业吗,在广东省内，取得自学考试准考证号后，可以在各地市报考自学考试开考的课程或申请毕业。
513,考生已达到自学考试专科、本科专业的毕业条件，可否同时办理专科、本科专业的毕业手续？,考生已达到自学考试专科、本科专业的毕业条件，可以同时办理专科、本科专业的毕业手续。详情可参阅广东省自学考试管理系统首页关于办理毕业的公告。
514,考生已达到自学考试专科、本科专业的毕业条件，能同时办理专科、本科专业的毕业手续吗,考生已达到自学考试专科、本科专业的毕业条件，可以同时办理专科、本科专业的毕业手续。详情可参阅广东省自学考试管理系统首页关于办理毕业的公告。
515,考生若满足自学考试专科和本科专业的毕业要求，能否同时申请这两个专业的毕业手续,考生已达到自学考试专科、本科专业的毕业条件，可以同时办理专科、本科专业的毕业手续。详情可参阅广东省自学考试管理系统首页关于办理毕业的公告。
516,考生若同时达到自学考试专科和本科的毕业标准，是否可以一并办理两个毕业手续,考生已达到自学考试专科、本科专业的毕业条件，可以同时办理专科、本科专业的毕业手续。详情可参阅广东省自学考试管理系统首页关于办理毕业的公告。
517,自学考试若达到专科和本科的毕业条件，可以同时办理这两个的毕业手续吗,考生已达到自学考试专科、本科专业的毕业条件，可以同时办理专科、本科专业的毕业手续。详情可参阅广东省自学考试管理系统首页关于办理毕业的公告。
518,如何办理毕业申请手续？,自学考试毕业办理时间上半年为6月中旬，下半年为12月中旬。详细规定请参阅广东省自学考试管理系统首页关于毕业办理的公告。
519,怎么办理毕业申请手续,自学考试毕业办理时间上半年为6月中旬，下半年为12月中旬。详细规定请参阅广东省自学考试管理系统首页关于毕业办理的公告。
520,毕业申请手续办理,自学考试毕业办理时间上半年为6月中旬，下半年为12月中旬。详细规定请参阅广东省自学考试管理系统首页关于毕业办理的公告。
521,毕业申请手续如何办理,自学考试毕业办理时间上半年为6月中旬，下半年为12月中旬。详细规定请参阅广东省自学考试管理系统首页关于毕业办理的公告。
522,毕业申请手续怎么办理,自学考试毕业办理时间上半年为6月中旬，下半年为12月中旬。详细规定请参阅广东省自学考试管理系统首页关于毕业办理的公告。
523,毕业申请手续办理流程,自学考试毕业办理时间上半年为6月中旬，下半年为12月中旬。详细规定请参阅广东省自学考试管理系统首页关于毕业办理的公告。
524,如何办理学历证明？,考生办理当次毕业登记手续后，因工作需要等情况要求开具学历证明的，可登录广东省自学考试网上办事服务系统（网址:[www.eeagd.edu.cn/selfec/]）申请办理。经省考办审核通过后，考生即可自行下载、打印加盖电子印章的相关证明。
